0.0	1	7.5	N
7.5	0	0.25	V
7.75	1	3.5	N
11.25	0	0.5	V
11.75	1	0.25	N
12.0	0	0.25	V
12.25	1	0.25	N
12.5	0	2.75	V
15.25	1	4.75	N
20.0	0	0.25	V
20.25	1	0.75	N
21.0	0	0.25	V
21.25	1	1.0	N
22.25	0	0.25	V
22.5	1	6.25	N
28.75	0	0.75	V
29.5	1	2.25	N
31.75	0	0.5	V
32.25	1	0.75	N
33.0	0	4.5	V
37.5	1	0.25	N
37.75	0	4.25	V
42.0	1	0.25	N
42.25	0	0.25	V
42.5	1	3.25	N
45.75	0	3.0	V
48.75	1	1.5	N
50.25	0	12.0	V
62.25	1	9.0	N
71.25	0	0.25	V
71.5	1	1.0	N
72.5	0	0.25	V
72.75	1	0.25	N
73.0	0	0.5	V
73.5	1	1.0	N
74.5	0	0.5	V
75.0	1	0.25	N
75.25	0	0.5	V
75.75	1	0.25	N
76.0	0	0.25	V
76.25	1	0.25	N
76.5	0	0.5	V
77.0	1	0.5	N
77.5	0	0.25	V
77.75	1	1.0	N
78.75	0	0.5	V
79.25	1	0.5	N
79.75	0	0.25	V
80.0	1	0.25	N
80.25	0	0.25	V
80.5	1	0.25	N
80.75	0	0.25	V
81.0	1	0.5	N
81.5	0	2.75	V
84.25	1	0.25	N
84.5	0	11.0	V
95.5	1	1.5	N
97.0	0	0.25	V
97.25	1	0.25	N
97.5	0	0.25	V
97.75	1	0.25	N
98.0	0	0.75	V
98.75	1	0.5	N
99.25	0	0.25	V
99.5	1	1.5	N
101.0	0	0.5	V
101.5	1	0.5	N
102.0	0	0.25	V
102.25	1	1.5	N
103.75	0	2.75	V
106.5	1	0.25	N
106.75	0	0.5	V
107.25	1	0.25	N
107.5	0	6.0	V
113.5	1	0.5	N
114.0	0	6.0	V
120.0	1	0.25	N
120.25	0	0.75	V
121.0	1	0.25	N
121.25	0	1.0	V
122.25	1	0.25	N
122.5	0	7.5	V
130.0	1	0.25	N
130.25	0	0.75	V
131.0	1	0.25	N
131.25	0	0.25	V
131.5	1	0.25	N
131.75	0	0.25	V
132.0	1	1.25	N
133.25	0	0.75	V
134.0	1	0.25	N
134.25	0	0.25	V
134.5	1	1.0	N
135.5	0	0.25	V
135.75	1	0.75	N
136.5	0	0.25	V
136.75	1	0.5	N
137.25	0	0.25	V
137.5	1	0.75	N
138.25	0	0.5	V
138.75	1	1.25	N
140.0	0	4.5	V
144.5	1	1.0	N
145.5	0	3.25	V
148.75	1	0.25	N
149.0	0	3.0	V
152.0	1	1.0	N
153.0	0	0.5	V
153.5	1	0.5	N
154.0	0	0.25	V
154.25	1	0.25	N
154.5	0	0.75	V
155.25	1	0.75	N
156.0	0	0.25	V
156.25	1	1.0	N
157.25	0	0.25	V
157.5	1	1.25	N
158.75	0	0.25	V
159.0	1	1.0	N
160.0	0	0.25	V
160.25	1	0.25	N
160.5	0	1.75	V
162.25	1	0.25	N
162.5	0	1.75	V
164.25	1	0.25	N
164.5	0	0.25	V
164.75	1	1.0	N
165.75	0	2.0	V
167.75	1	0.25	N
168.0	0	4.25	V
172.25	1	0.75	N
173.0	0	3.25	V
176.25	1	0.25	N
176.5	0	1.75	V
178.25	1	0.25	N
178.5	0	2.25	V
180.75	1	0.5	N
181.25	0	0.25	V
181.5	1	0.25	N
181.75	0	3.5	V
185.25	1	0.5	N
185.75	0	0.5	V
186.25	1	0.25	N
186.5	0	1.5	V
188.0	1	0.25	N
188.25	0	5.75	V
194.0	1	0.25	N
194.25	0	3.25	V
197.5	1	0.25	N
197.75	0	1.0	V
198.75	1	0.25	N
199.0	0	6.0	V
205.0	1	3.75	N
208.75	0	0.25	V
209.0	1	0.5	N
209.5	0	8.0	V
217.5	1	0.25	N
217.75	0	3.25	V
221.0	1	0.5	N
221.5	0	0.25	V
221.75	1	8.5	N
230.25	0	1.25	V
231.5	1	0.5	N
232.0	0	0.25	V
232.25	1	0.5	N
232.75	0	0.25	V
233.0	1	0.75	N
233.75	0	0.5	V
234.25	1	0.25	N
234.5	0	4.75	V
239.25	1	0.25	N
239.5	0	0.5	V
240.0	1	0.25	N
240.25	0	2.5	V
242.75	1	0.75	N
243.5	0	8.0	V
251.5	1	0.25	N
251.75	0	3.25	V
255.0	1	0.5	N
255.5	0	0.5	V
256.0	1	10.0	N
