0.0	1	12.5	N
12.5	0	2.75	V
15.25	1	13.5	N
28.75	0	0.75	V
29.5	1	3.5	N
33.0	0	9.0	V
42.0	1	3.75	N
45.75	0	3.0	V
48.75	1	1.5	N
50.25	0	12.0	V
62.25	1	19.25	N
81.5	0	14.0	V
95.5	1	2.5	N
98.0	0	0.75	V
98.75	1	5.0	N
103.75	0	9.75	V
113.5	1	0.5	N
114.0	0	17.0	V
131.0	1	0.25	N
131.25	0	0.25	V
131.5	1	1.75	N
133.25	0	0.75	V
134.0	1	6.0	N
140.0	0	4.5	V
144.5	1	1.0	N
145.5	0	6.5	V
152.0	1	2.5	N
154.5	0	0.75	V
155.25	1	5.25	N
160.5	0	3.75	V
164.25	1	1.5	N
165.75	0	6.5	V
172.25	1	0.75	N
173.0	0	7.75	V
180.75	1	1.0	N
181.75	0	3.5	V
185.25	1	1.25	N
186.5	0	18.5	V
205.0	1	4.5	N
209.5	0	11.5	V
221.0	1	9.25	N
230.25	0	1.25	V
231.5	1	3.0	N
234.5	0	8.25	V
242.75	1	0.75	N
243.5	0	11.5	V
255.0	1	11.0	N
